trial_id,condition,num_presentation_type,audio_presentation_context,other_features,target_number,accuracy,foil,response_key,response_time
14,1,3 digits,four hundred and thirty eight,swap_1_3,438,1,834,left,4.211
18,1,3 digits,eight hundred and thirty six,swap_1_3,836,0,638,right,13.311
0,1,2 digits,twenty seven,none,27,1,72,left,3.093
10,1,2 digits,forty eight,none,48,1,84,left,5.332
1,1,2 digits,thirty six,none,36,1,63,right,12.25
23,1,3 digits,one hundred and fifty three,swap_2_3,153,0,135,left,8.255
11,1,2 digits,sixty nine,none,69,0,96,left,28.195
22,1,3 digits,nine hundred and forty one,swap_1_3,941,0,149,right,10.642
13,1,3 digits,five hundred and ninety six,swap_1_2,596,1,956,right,26.306
6,1,2 digits,eighty four,none,84,0,48,right,7.609
9,1,2 digits,thirty seven,none,37,1,73,right,9.27
19,1,3 digits,two hundred and seventy five,swap_2_3,275,1,257,right,20.356
5,1,2 digits,seventy five,none,75,0,57,left,33.639
17,1,3 digits,six hundred and twenty nine,swap_1_2,629,1,269,right,5.057
4,1,2 digits,sixty seven,none,67,0,76,right,6.492
3,1,2 digits,fifty two,none,52,1,25,right,8.289
12,1,3 digits,one hundred and eighty two,swap_2_3,182,1,128,left,7.01
20,1,3 digits,four hundred and ninety two,swap_1_3,492,1,294,left,7.58
7,1,2 digits,ninety three,none,93,1,39,right,4.24
16,1,3 digits,three hundred and sixty eight,swap_2_3,368,1,386,left,4.785
21,1,3 digits,five hundred and seventy four,swap_1_2,574,1,754,right,4.52
8,1,2 digits,twenty four,none,24,1,42,left,10.99
2,1,2 digits,eighty nine,none,89,1,98,left,15.685
15,1,3 digits,seven hundred and forty five,swap_1_2,745,1,475,right,12.367
